beside	ondoan
enjoyable	atsegin
friendly	atsegin
friendly	lagunkoi
personable	atsegin
pleasurable	atsegin
welcome	atsegin
delicious	atsegingarri
delicious	osogozo
entertaining	atsegingarri
pleasing	atsegingarri
desolate	atsekabegarri
desolate	atsekabetu
despondent	atsekabetu
disgruntled	atsekabetu
distraught	atsekabetu
mournful	atsekabetu
inherent	atxiki
retarded	atzeratu
overdue	atzeratuta
designate	aukeratu
hostile	aurkako
predictable	aurreikusdaitekeen
unprecedented	aurrekaririkgabe
former	aurreko
progressive	aurrerakoi
progressive	mailakako
preexisting	aurretikbaden
thrifty	aurreztaile
audacious	ausart
bold	ausart
brave	ausart
brave	zangar
courageous	ausart
decisive	ausart
decisive	erabakigarri
fearless	ausart
gallant	ausart
game	ausart
gritty	ausart
resolute	ausart
singleminded	ausart
valiant	ausart
random	ausazko
autochthonous	autoktono
automatic	automatiko
autonomic	autonomiko
autonomic	autonomo
autonomous	autonomo
selfemployed	autonomo
authoritarian	autoritario
highhanded	autoritario
unaware	axolagabe
unaware	ezkontziente
indifferent	axolagabe
nonchalant	axolagabe
unsympathetic	axolagabe
wanton	axolagabe
careful	axolati
careful	zuhur
shallow	azaleko
superficial	azaleko
sour	azido
sour	garratz
clever	azkar
smart	azkar
smart	dotore
fast	azkar
fast	laster
brisk	azkar
canny	azkar
cunning	azkar
cunning	maltzur
quick	azkar
rapid	azkar
swift	azkar
penultimate	azkenaurreko
underdeveloped	azpigaratu
bottom	azpiko
bottom	beherengo
inferior	azpiko
sugary	azukretsu
defensive	babeserako
defenceless	babesgabe
defenseless	babesgabe
helpless	babesgabe
protective	babesle
dunce	babo
preventive	badaezpadako
preventive	prebentibo
affirmative	baiezko
hopeful	baikor
hopeful	itxaropentsu
optimistic	baikor
optimistic	optimista
isolated	bakan
exclusive	bakar
alone	bakar
only	bakar
sole	bakar
unique	bakar
empty	bakarti
empty	huts
solitary	bakarti
lone	bakarti
reclusive	bakarti
peaceful	baketsu
peaceful	lasai
pacific	baketsu
peaceable	baketsu
pacifist	bakezale
simple	bakun
simple	erraz
simple	sinple
abusive	baldar
tawdry	baldar
vulgar	baldar
herri	baldar
conditional	baldintzapeko
balearic	balear
helpful	baliagarri
helpful	onuragarri
useful	baliagarri
serviceable	baliagarri
usable	baliagarri
usable	erabilgarri
invalid	baliogabe
equivalent	baliokide
tantamount	baliokide
valuable	baliotsu
valuable	baliozko
priceless	baliotsu
valid	baliozko
valid	indarreko
eventual	balizko
individual	banakako
individual	gizabanakoaren
joint	banatu
divisional	banatzaile
banking	banku
barbaric	barbaro
barbaric	basati
calm	bare
calm	lasai
indulgent	barkabera
lenient	barkabera
inexcusable	barkaezin
unforgivable	barkaezin
inclusive	barne
internal	barneko
ridiculous	barregarri
derisory	barregarri
droll	barregarri
humorous	barregarri
laughable	barregarri
indoor	barruko
inner	barruko
barcelonan	bartzelonar
brutal	basati
wild	basati
ferocious	basati
fierce	basati
savage	basati
sudden	batbateko
sudden	tupusteko
incompatible	bateraezin
irreconcilable	bateraezin
compatible	bateragarri
consistent	bateragarri
consistent	kontsekuente
conjoint	baterako
bass	baxu
vegetal	begetal
vegetarian	begetariano
vegetative	begetatibo
inconsiderate	begirunerikgabe
respectful	begirunetsu
observable	behagarri
necessary	behar
necessary	beharrezko
necessary	ezinbesteko
indispensable	beharbeharrezko
indispensable	nahitaezko
indispensable	premiazko
precise	beharrezko
precise	zehatz
needy	behartsu
poor	behartsu
poor	pobre
observant	behatzaile
observant	oharkor
provisional	behinbehineko
temporary	behinbehineko
definite	behinbetiko
beige	beix
fawn	beix
envious	bekaizti
fearsome	beldurgarri
fearsome	larderiatsu
awful	beldurgarri
awful	ikaragarri
formidable	beldurgarri
frightful	beldurgarri
scary	beldurgarri
apprehensive	beldurti
fearful	beldurti
squeamish	beldurti
belgian	belgikar
black	beltz
coloured	beltz
true	benetako
true	egiazko
true	gertu
late	berandu
late	berant
belated	berant
specific	berariazko
specific	jakin
specific	zehatz
green	berde
unripe	berde
unripe	gordin
equal	berdin
identical	berdinberdin
singular	berebiziko
singular	singular
immediate	berehalako
differential	bereizgarri
separate	bereizi
separate	bizialargun
indiscriminate	bereizigabe
inseparable	bereiztezin
selfcentered	berekoi
selfish	berekoi
special	berezi
particular	berezi
particular	partikular
characteristic	berezko
spontaneous	berezko
hot	bero
fervent	bero
hearty	bero
torrid	bero
warm	bero
warm	epel
modern	berri
stateoftheart	berri
novel	berri
new	berri
mint	berri
uptodate	berri
gaur	berri
chatty	berritsu
talkative	berritsu
innovative	berritzaile
native	bertako
native	indigena
vertical	bertikal
virtuous	bertutetsu
unleaded	berunikgabe
far	beste
far	urrun
far	urruti
different	bestelako
different	desberdin
different	diferente
different	ezberdin
transferable	besterengarri
complete	bete
complete	betebeteko
complete	oso
full	bete
executive	betearazle
supplementary	betegarri
permanent	betiko
permanent	iraunkor
biblical	bibliko
unfair	bidegabe
viable	bideragarri
secondary	bigarren
secondary	sekundario
soft	bigun
soft	suabe
flabby	bigun
heartbreaking	bihotzerdiragarri
cordial	bihotzeko
cordial	maitekor
neighbourly	bihotzeko
humane	bihozbera
callous	bihozgabe
coldblooded	bihozgabe
heartless	bihozgabe
merciless	bihozgabe
pitiless	bihozgabe
remorseless	bihozgabe
remorseless	gogor
ruthless	bihozgabe
ruthless	krudel
vicious	bihozgabe
winding	bihurgunetsu
reflexive	bihurkari
bad	bihurri
bad	gaizto
bad	txar
bad	txarrago
mean	bihurri
mean	zeken
nasty	bihurri
nasty	txar
